Port Name,Date,Value
Trout River,4/1/2013 00:00,42722
Trout River,4/1/2014 00:00,40359
Trout River,4/1/2015 00:00,37039
Trout River,4/1/2016 00:00,35027
Trout River,4/1/2017 00:00,36918
Trout River,4/1/2018 00:00,33446
Trout River,4/1/2019 00:00,30399
Trout River,5/1/1996 00:00,69651
Trout River,5/1/1997 00:00,55406
Trout River,5/1/1998 00:00,63885
Trout River,5/1/1999 00:00,61583
Trout River,5/1/2000 00:00,79303
Trout River,5/1/2001 00:00,59976
Trout River,5/1/2002 00:00,52659
Trout River,5/1/2003 00:00,55165
Trout River,5/1/2004 00:00,51533
Trout River,5/1/2005 00:00,54686
Trout River,5/1/2006 00:00,53476
Trout River,5/1/2007 00:00,58519
Trout River,5/1/2008 00:00,58274
Trout River,5/1/2009 00:00,56774
Trout River,5/1/2010 00:00,49102
Trout River,5/1/2011 00:00,49806
Trout River,5/1/2012 00:00,52515
Trout River,5/1/2013 00:00,54882
Trout River,5/1/2014 00:00,53201
Trout River,5/1/2015 00:00,53345
Trout River,5/1/2016 00:00,44619
Trout River,5/1/2017 00:00,45015
Trout River,5/1/2018 00:00,44605
Trout River,5/1/2019 00:00,39336
Trout River,6/1/1996 00:00,82277
Trout River,6/1/1997 00:00,74057
Trout River,6/1/1998 00:00,68591
Trout River,6/1/1999 00:00,67961
Trout River,6/1/2000 00:00,91106
Trout River,6/1/2001 00:00,65092
Trout River,6/1/2002 00:00,58774
Trout River,6/1/2003 00:00,62413
Trout River,6/1/2004 00:00,61169
Trout River,6/1/2005 00:00,62324
Trout River,6/1/2006 00:00,67662
Trout River,6/1/2007 00:00,26838
Trout River,6/1/2008 00:00,64503
Trout River,6/1/2009 00:00,74450
Trout River,6/1/2010 00:00,54697
Trout River,6/1/2011 00:00,58261
Trout River,6/1/2012 00:00,61673
Trout River,6/1/2013 00:00,63232
Trout River,6/1/2014 00:00,61029
Trout River,6/1/2015 00:00,52502
Trout River,6/1/2016 00:00,52678
Trout River,6/1/2017 00:00,51147
Trout River,6/1/2018 00:00,54460
Trout River,6/1/2019 00:00,49109
Trout River,7/1/1996 00:00,91163
Trout River,7/1/1997 00:00,86582
Trout River,7/1/1998 00:00,90533
Trout River,7/1/1999 00:00,88810
Trout River,7/1/2000 00:00,107451
Trout River,7/1/2001 00:00,74812
Trout River,7/1/2002 00:00,75793
Trout River,7/1/2003 00:00,71928
Trout River,7/1/2004 00:00,75432
Trout River,7/1/2005 00:00,79005
Trout River,7/1/2006 00:00,77579
Trout River,7/1/2007 00:00,29043
Trout River,7/1/2008 00:00,75654
Trout River,7/1/2009 00:00,77033
Trout River,7/1/2010 00:00,69405
Trout River,7/1/2011 00:00,73452
Trout River,7/1/2012 00:00,69767
Trout River,7/1/2013 00:00,72597
Trout River,7/1/2014 00:00,69908
Trout River,7/1/2015 00:00,63730
Trout River,7/1/2016 00:00,60337
Trout River,7/1/2017 00:00,61387
Trout River,7/1/2018 00:00,57839
Trout River,7/1/2019 00:00,55350
Trout River,8/1/1996 00:00,97796
Trout River,8/1/1997 00:00,90493
Trout River,8/1/1998 00:00,80994
Trout River,8/1/1999 00:00,84500
Trout River,8/1/2000 00:00,83391
Trout River,8/1/2001 00:00,77450
Trout River,8/1/2002 00:00,77231
Trout River,8/1/2003 00:00,77304
Trout River,8/1/2004 00:00,71902
Trout River,8/1/2005 00:00,73617
Trout River,8/1/2006 00:00,73989
Trout River,8/1/2007 00:00,28813
Trout River,8/1/2008 00:00,76278
Trout River,8/1/2009 00:00,74285
Trout River,8/1/2010 00:00,65789
Trout River,8/1/2011 00:00,64815
Trout River,8/1/2012 00:00,66230
Trout River,8/1/2013 00:00,76680
Trout River,8/1/2014 00:00,73922
Trout River,8/1/2015 00:00,62906
Trout River,8/1/2016 00:00,57945
Trout River,8/1/2017 00:00,59806
Trout River,8/1/2018 00:00,57259
Trout River,8/1/2019 00:00,56905
Trout River,9/1/1996 00:00,66810
Trout River,9/1/1997 00:00,57808
Trout River,9/1/1998 00:00,63696
Trout River,9/1/1999 00:00,66777
Trout River,9/1/2000 00:00,80536
Trout River,9/1/2001 00:00,56927
Trout River,9/1/2002 00:00,58554
Trout River,9/1/2003 00:00,60378
Trout River,9/1/2004 00:00,60421
Trout River,9/1/2005 00:00,58754
Trout River,9/1/2006 00:00,62117
Trout River,9/1/2007 00:00,25281
Trout River,9/1/2008 00:00,58704
Trout River,9/1/2009 00:00,66975
Trout River,9/1/2010 00:00,52974
Trout River,9/1/2011 00:00,56054
Trout River,9/1/2012 00:00,56156
Trout River,9/1/2013 00:00,58215
Trout River,9/1/2014 00:00,53811
Trout River,9/1/2015 00:00,49998
Trout River,9/1/2016 00:00,49862
Trout River,9/1/2017 00:00,52819
Trout River,9/1/2018 00:00,47327
Trout River,9/1/2019 00:00,42476
Turner,1/1/1996 00:00,2520
Turner,1/1/1997 00:00,2881
Turner,1/1/1998 00:00,2311
Turner,1/1/1999 00:00,2516
Turner,1/1/2000 00:00,1929
Turner,1/1/2001 00:00,1928
Turner,1/1/2002 00:00,1529
Turner,1/1/2003 00:00,1315
Turner,1/1/2004 00:00,226
Turner,1/1/2005 00:00,1321
Turner,1/1/2006 00:00,1133
Turner,1/1/2007 00:00,1530
Turner,1/1/2008 00:00,221
Turner,1/1/2009 00:00,1392
Turner,1/1/2010 00:00,1959
Turner,1/1/2011 00:00,1646
Turner,1/1/2012 00:00,2424
Turner,1/1/2013 00:00,2817
Turner,1/1/2014 00:00,2626
Turner,1/1/2015 00:00,2992
Turner,1/1/2016 00:00,2254
Turner,1/1/2017 00:00,2732
Turner,1/1/2018 00:00,2090
Turner,1/1/2019 00:00,2008
Turner,1/1/2020 00:00,2082
Turner,10/1/1996 00:00,2108
Turner,10/1/1997 00:00,2751
