A,State,Date,Value
233,AK,7/1/2011 0:00,132509
234,AK,7/1/2012 0:00,142061
235,AK,7/1/2013 0:00,145895
236,AK,7/1/2014 0:00,130623
237,AK,7/1/2015 0:00,146259
238,AK,7/1/2016 0:00,155120
239,AK,7/1/2017 0:00,158563
240,AK,7/1/2018 0:00,178800
241,AK,7/1/2019 0:00,176393
242,AK,8/1/1996 0:00,113141
243,AK,8/1/1997 0:00,112897
244,AK,8/1/1998 0:00,126944
245,AK,8/1/1999 0:00,110349
246,AK,8/1/2000 0:00,136578
247,AK,8/1/2001 0:00,118023
248,AK,8/1/2002 0:00,109905
249,AK,8/1/2003 0:00,119550
250,AK,8/1/2004 0:00,125392
251,AK,8/1/2005 0:00,119674
252,AK,8/1/2006 0:00,117674
253,AK,8/1/2007 0:00,124677
254,AK,8/1/2008 0:00,112577
255,AK,8/1/2009 0:00,114324
256,AK,8/1/2010 0:00,116088
257,AK,8/1/2011 0:00,122519
258,AK,8/1/2012 0:00,126823
259,AK,8/1/2013 0:00,111777
260,AK,8/1/2014 0:00,118888
261,AK,8/1/2015 0:00,125557
262,AK,8/1/2016 0:00,144291
263,AK,8/1/2017 0:00,147424
264,AK,8/1/2018 0:00,162488
265,AK,8/1/2019 0:00,159192
266,AK,9/1/1996 0:00,53423
267,AK,9/1/1997 0:00,54660
268,AK,9/1/1998 0:00,65526
269,AK,9/1/1999 0:00,69066
270,AK,9/1/2000 0:00,69958
271,AK,9/1/2001 0:00,57560
272,AK,9/1/2002 0:00,63516
273,AK,9/1/2003 0:00,65363
274,AK,9/1/2004 0:00,69181
275,AK,9/1/2005 0:00,65915
276,AK,9/1/2006 0:00,64829
277,AK,9/1/2007 0:00,65123
278,AK,9/1/2008 0:00,56286
279,AK,9/1/2009 0:00,66409
280,AK,9/1/2010 0:00,60870
281,AK,9/1/2011 0:00,61848
282,AK,9/1/2012 0:00,67443
283,AK,9/1/2013 0:00,67029
284,AK,9/1/2014 0:00,70725
285,AK,9/1/2015 0:00,75972
286,AK,9/1/2016 0:00,72031
287,AK,9/1/2017 0:00,79892
288,AK,9/1/2018 0:00,86077
289,AK,9/1/2019 0:00,84670
290,ID,1/1/1996 0:00,49170
291,ID,1/1/1997 0:00,47843
292,ID,1/1/1998 0:00,52571
293,ID,1/1/1999 0:00,51994
294,ID,1/1/2000 0:00,47927
295,ID,1/1/2001 0:00,53733
296,ID,1/1/2002 0:00,48874
297,ID,1/1/2003 0:00,46416
298,ID,1/1/2004 0:00,40083
299,ID,1/1/2005 0:00,42416
300,ID,1/1/2006 0:00,48223
301,ID,1/1/2007 0:00,51303
302,ID,1/1/2008 0:00,59604
303,ID,1/1/2009 0:00,58785
304,ID,1/1/2010 0:00,61043
305,ID,1/1/2011 0:00,59425
306,ID,1/1/2012 0:00,61718
307,ID,1/1/2013 0:00,63249
308,ID,1/1/2014 0:00,63153
309,ID,1/1/2015 0:00,63530
310,ID,1/1/2016 0:00,55741
311,ID,1/1/2017 0:00,51722
312,ID,1/1/2018 0:00,55319
313,ID,1/1/2019 0:00,56483
314,ID,1/1/2020 0:00,51093
315,ID,10/1/1996 0:00,71773
316,ID,10/1/1997 0:00,69161
317,ID,10/1/1998 0:00,60224
318,ID,10/1/1999 0:00,74030
319,ID,10/1/2000 0:00,78126
320,ID,10/1/2001 0:00,62514
321,ID,10/1/2002 0:00,63760
322,ID,10/1/2003 0:00,57616
323,ID,10/1/2004 0:00,58737
324,ID,10/1/2005 0:00,58904
325,ID,10/1/2006 0:00,65859
326,ID,10/1/2007 0:00,80068
327,ID,10/1/2008 0:00,85247
328,ID,10/1/2009 0:00,77639
329,ID,10/1/2010 0:00,90347
330,ID,10/1/2011 0:00,83015
331,ID,10/1/2012 0:00,81733
332,ID,10/1/2013 0:00,84600
333,ID,10/1/2014 0:00,83588
334,ID,10/1/2015 0:00,71279
335,ID,10/1/2016 0:00,72904
336,ID,10/1/2017 0:00,71188
337,ID,10/1/2018 0:00,67517
338,ID,10/1/2019 0:00,63343
339,ID,11/1/1996 0:00,31903
340,ID,11/1/1997 0:00,56514
341,ID,11/1/1998 0:00,52180
342,ID,11/1/1999 0:00,57198
343,ID,11/1/2000 0:00,56041
344,ID,11/1/2001 0:00,52779
345,ID,11/1/2002 0:00,54529
346,ID,11/1/2003 0:00,47041
347,ID,11/1/2004 0:00,50828
348,ID,11/1/2005 0:00,53062
349,ID,11/1/2006 0:00,52492
350,ID,11/1/2007 0:00,73885
351,ID,11/1/2008 0:00,71654
352,ID,11/1/2009 0:00,71222
353,ID,11/1/2010 0:00,65650
354,ID,11/1/2011 0:00,70374
355,ID,11/1/2012 0:00,69643
356,ID,11/1/2013 0:00,75561
357,ID,11/1/2014 0:00,70962
358,ID,11/1/2015 0:00,61624
359,ID,11/1/2016 0:00,62923
360,ID,11/1/2017 0:00,59755
361,ID,11/1/2018 0:00,57299
362,ID,11/1/2019 0:00,57733
363,ID,12/1/1996 0:00,43719
364,ID,12/1/1997 0:00,52517
365,ID,12/1/1998 0:00,46719
366,ID,12/1/1999 0:00,52158
367,ID,12/1/2000 0:00,50430
368,ID,12/1/2001 0:00,47433
369,ID,12/1/2002 0:00,49405
370,ID,12/1/2003 0:00,44740
371,ID,12/1/2004 0:00,47877
372,ID,12/1/2005 0:00,52934
373,ID,12/1/2006 0:00,51164
374,ID,12/1/2007 0:00,64445
375,ID,12/1/2008 0:00,58720
376,ID,12/1/2009 0:00,64427
377,ID,12/1/2010 0:00,64536
378,ID,12/1/2011 0:00,70766
